id,priority,type,title,file,description,assignee,due_date,status,last_reviewed,follow_up_date,follow_up_note,resolution
1,P0,BUG,V12_HEBBIAN ablation bypass,config/verification.json:105,Ablation test creates fresh engine instead of factory ablated one — verification bypassed,dancinlife,2026-04-17,RESOLVED,2026-04-16,2026-04-17,Verify factory wiring fix passes ablation suite,Two-scenario test added in ready/bench/bench.py:_verify_hebbian — factory-ablated instance + adversarial kill-switch (baseline ratio >= 1.0 AND no_hebbian ratio < 1.0); V12 promoted rubber_stamp -> genuine_hard; ossified at shared/incidents/inc_20260416_v12_hebbian.json
2,P1,TEST,conscious_memory empty assertions,tests/test_conscious_memory.hexa,All 10 test cases have TODO[assert] with no actual assertions — tests pass vacuously,dancinlife,2026-04-18,RESOLVED,2026-04-16,2026-04-18,Verify 10/10 PASS with 27 real assertions,P1 agent added 27 real assertions across 10 cases — 10/10 PASS vacuous=0
3,P2,STUB,expand_instruct_ko stubs,scripts/expand_instruct_ko.hexa,"quality_filter, dedup_hash, convert_sample are print-only stubs — data pipeline non-functional",dancinlife,2026-04-19,RESOLVED,2026-04-16,2026-04-19,Verify ALM A1 data feed,P2 agent implemented 3 functions 91 LOC — 10/10 PASS ALM A1 data feed unblocked
4,P3,DEPRECATION,Legacy W engines still importable,anima-hexad/w/legacy/__init__.hexa,Deprecated legacy W engines still importable — gate or remove,dancinlife,2026-04-21,OPEN,2026-04-16,2026-04-21,Add deprecation gate or delete module,
5,P4,PORT,hexad 6 module ports incomplete,anima-hexad/hexad.hexa,"Incomplete ports: constants, model, narrative, emergent_s/m/w/e",dancinlife,2026-04-23,OPEN,2026-04-16,2026-04-23,Port remaining 6 modules to Hexa,
6,P4,PORT,hexad model pytorch TODOs,anima-hexad/model.hexa,25+ TODO[pytorch] lines — forward/backward pass and training loop commented out,dancinlife,2026-04-23,OPEN,2026-04-16,2026-04-23,Implement forward/backward/training in Hexa,
7,P5,EXPERIMENT,unified_16lens re-measure,experiments/unified_16lens_acceleration_scan.hexa:6,Re-measure TODO,dancinlife,2026-04-30,OPEN,2026-04-16,2026-04-30,Re-run measurement after core stabilizes,
8,P5,EXPERIMENT,law_landscape TODOs,experiments/law_landscape.hexa,"3 TODOs: embed, synergy, causal",dancinlife,2026-04-30,OPEN,2026-04-16,2026-04-30,Implement embed/synergy/causal analysis,
9,P5,EXPERIMENT,acceleration_consciousness_fusion TODOs,experiments/acceleration_consciousness_fusion.hexa,"2 TODOs: topology, fusion",dancinlife,2026-04-30,OPEN,2026-04-16,2026-04-30,Implement topology and fusion logic,
10,P5,EXPERIMENT,adaptive_selection TODOs,experiments/adaptive_selection.hexa,"3 TODOs: selection, exploit/explore, Thompson",dancinlife,2026-04-30,OPEN,2026-04-16,2026-04-30,Implement selection strategies,
11,P5,EXPERIMENT,discover_laws_wave3 TODOs,experiments/discover_laws_wave3.hexa,"5 TODOs: FFT, removal, asymmetry, causal, optimal",dancinlife,2026-04-30,OPEN,2026-04-16,2026-04-30,Implement 5 analysis methods,
12,P5,EXPERIMENT,acceleration_h1_h6 TODOs,experiments/acceleration_h1_h6.hexa,"6 TODOs: expansion, frozen, approximation, transfer, 1-bit Adam, sequences",dancinlife,2026-04-30,OPEN,2026-04-16,2026-04-30,Implement 6 optimization techniques,
13,P0,PROCESS,Enforce adversarial fail-case per verification criterion,config/verification.json,Any rubber_stamp criterion must include an adversarial scenario expected to FAIL — CI must enforce,dancinlife,2026-04-20,OPEN,2026-04-16,2026-04-20,Add adversarial cases to CI gate,
14,P1,PROCESS,Ban vacuous tests in CI,CI lint config,Add lint pass rejecting test functions with no assertions (only comments/TODOs),dancinlife,2026-04-20,RESOLVED,2026-04-16,2026-04-20,Verify lint gate wired to CI,CI vacuous test lint scanner agent delivered scripts/lint_vacuous_tests.hexa + CI wiring
